Rank,Country (or dependent territory),Population,Date,"% of world
population",Source,,
224,,,1/1/2013,0.00%,Official estimate,,dep
225,,,7/1/2013,0.00%,Annual official estimate,,null
226,,,12/1/2011,0.00%,Final 2011 census result,,null
227,,,5/11/2011,0.00%,Preliminary 2011 census result,,dep
228,,,7/1/2013,0.00%,Annual official estimate,,dep
229,,,7/1/2013,0.00%,Annual official estimate,,null
230,,,10/30/2011,0.00%,2011 census result,,null
231,,,1/1/2010,0.00%,Official estimate,,dep
232,,,1/1/2010,0.00%,Official estimate,,dep
233,,,5/12/2011,0.00%,2011 census result,,dep
234,,,7/1/2014,0.00%,UN projection,,dep
235,,,7/1/2014,0.00%,UN projection,,dep
236,,,9/1/2012,0.00%,Official estimate,,null
237,,,8/9/2011,0.00%,2011 census result,,dep
238,,,8/9/2011,0.00%,2011 census result,,dep
239,,,9/10/2011,0.00%,Final 2011 census result,,null
240,,,10/18/2011,0.00%,Final 2011 census result,,null
241,,,7/1/2012,0.00%,Official estimate,,null
242,,,8/9/2011,0.00%,2011 census result,,dep
243,,,2013,0.00%,Official estimate,,dep
